t,rms
1.923,0.0317987
1.926,0.0317586
1.929,0.0317124
1.932,0.0316602
1.935,0.0316021
1.938,0.0315381
1.941,0.0314685
1.944,0.0313932
1.947,0.0313125
1.95,0.0312265
1.953,0.0311352
1.956,0.0310388
1.959,0.0309375
1.962,0.0308314
1.965,0.0307206
1.968,0.0306053
1.971,0.0304858
1.974,0.030362
1.977,0.0302343
1.98,0.0301027
1.983,0.0299675
1.986,0.0298288
1.989,0.0296868
1.992,0.0295418
1.995,0.0293938
1.998,0.0292432
2.001,0.02909
2.004,0.0289345
2.007,0.0287768
2.01,0.0286173
2.013,0.028456
2.016,0.0282932
2.019,0.028129
2.022,0.0279638
2.025,0.0277976
2.028,0.0276308
2.031,0.0274634
2.034,0.0272958
2.037,0.027128
2.04,0.0269604
2.043,0.026793
2.046,0.0266262
2.049,0.0264601
2.052,0.0262948
2.055,0.0261307
2.058,0.0259678
2.061,0.0258064
2.064,0.0256467
2.067,0.0254888
2.07,0.0253329
2.073,0.0251793
2.076,0.025028
2.079,0.0248792
2.082,0.0247332
2.085,0.02459
2.088,0.0244499
2.091,0.0243129
2.094,0.0241793
2.097,0.0240491
2.1,0.0239226
2.103,0.0237998
2.106,0.0236808
2.109,0.0235659
2.112,0.0234551
2.115,0.0233485
2.118,0.0232462
2.121,0.0231484
2.124,0.0230551
2.127,0.0229665
2.13,0.0228825
2.133,0.0228033
2.136,0.022729
2.139,0.0226596
2.142,0.0225951
2.145,0.0225357
2.148,0.0224814
2.151,0.0224321
2.154,0.0223881
2.157,0.0223492
2.16,0.0223155
2.163,0.022287
2.166,0.0222637
2.169,0.0222456
2.172,0.0222328
2.175,0.0222251
2.178,0.0222227
2.181,0.0222254
2.184,0.0222332
2.187,0.0222462
2.19,0.0222642
2.193,0.0222872
2.196,0.0223152
2.199,0.0223481
2.202,0.0223858
2.205,0.0224283
2.208,0.0224755
2.211,0.0225273
2.214,0.0225836
2.217,0.0226444
2.22,0.0227095
2.223,0.0227788
2.226,0.0228523
2.229,0.0229298
2.232,0.0230113
2.235,0.0230965
2.238,0.0231854
2.241,0.0232779
2.244,0.0233737
2.247,0.0234729
2.25,0.0235753
2.253,0.0236806
2.256,0.0237888
2.259,0.0238998
2.262,0.0240133
2.265,0.0241293
2.268,0.0242476
2.271,0.024368
2.274,0.0244904
2.277,0.0246146
2.28,0.0247404
2.283,0.0248678
2.286,0.0249965
2.289,0.0251263
2.292,0.0252572
2.295,0.025389
2.298,0.0255214
2.301,0.0256544
2.304,0.0257878
2.307,0.0259213
2.31,0.0260549
2.313,0.0261884
2.316,0.0263216
2.319,0.0264544
2.322,0.0265866
2.325,0.0267181
2.328,0.0268486
2.331,0.0269781
2.334,0.0271064
2.337,0.0272334
2.34,0.0273588
2.343,0.0274826
2.346,0.0276047
2.349,0.0277248
2.352,0.0278429
2.355,0.0279588
2.358,0.0280723
2.361,0.0281835
2.364,0.0282921
2.367,0.028398
2.37,0.0285011
2.373,0.0286013
2.376,0.0286986
2.379,0.0287927
2.382,0.0288836
2.385,0.0289712
2.388,0.0290555
2.391,0.0291362
2.394,0.0292135
2.397,0.0292871
2.4,0.029357
2.403,0.0294231
2.406,0.0294855
2.409,0.0295439
2.412,0.0295985
2.415,0.029649
2.418,0.0296956
2.421,0.0297381
2.424,0.0297765
2.427,0.0298108
2.43,0.029841
2.433,0.0298671
2.436,0.029889
2.439,0.0299067
2.442,0.0299203
2.445,0.0299298
2.448,0.029935
2.451,0.0299362
2.454,0.0299333
2.457,0.0299262
2.46,0.0299152
2.463,0.0299001
2.466,0.029881
2.469,0.0298579
2.472,0.029831
2.475,0.0298002
2.478,0.0297657
2.481,0.0297274
2.484,0.0296854
2.487,0.0296399
